1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
20,17,16,21,49,36,45,13,15,43,44,35,55,54,63,60,28,14,34,42,7,37,18,57,40,10,46,31,56,52,51,6,26,22,3,38,53,5,48,41,64,58,1,2,50,11,62,61,8,59,23,27,33,30,47,9,4,25,19,29,32,12,24,39
52,61,25,8,54,64,41,6,38,29,42,10,1,40,36,19,59,13,63,56,31,53,11,45,2,49,32,44,20,21,37,58,12,39,60,16,62,43,35,23,22,3,51,7,55,18,15,4,5,26,14,17,46,48,57,24,27,33,47,28,30,50,9,34
53,63,60,50,33,2,62,34,5,17,9,57,46,11,8,20,3,38,22,51,54,25,27,16,12,39,7,30,28,41,4,36,47,15,52,29,19,61,14,32,24,10,13,37,43,48,26,45,6,64,31,49,18,21,42,55,35,1,23,40,58,59,56,44
32,4,58,1,23,47,31,24,48,12,45,41,53,34,27,50,61,21,15,30,2,52,5,35,59,33,64,19,60,38,14,62,9,18,44,40,7,25,56,55,63,46,54,42,6,49,28,29,11,20,37,16,22,43,36,39,51,13,3,26,8,10,57,17
30,3,46,18,28,56,19,15,23,58,64,51,26,4,14,13,43,48,50,41,12,8,47,32,55,61,42,11,25,53,35,29,10,33,59,17,27,57,24,1,34,5,39,9,52,20,16,36,62,54,7,38,40,45,44,2,21,49,63,37,60,6,31,22
54,7,44,52,63,29,10,9,18,22,58,43,64,55,59,34,15,26,6,13,4,11,40,14,47,2,31,37,23,35,57,28,41,3,25,62,33,46,19,45,12,36,60,51,48,50,27,53,42,17,5,1,39,20,24,61,32,16,49,38,21,56,8,30
15,1,61,42,50,28,32,21,4,60,16,39,48,46,35,14,47,62,8,27,25,38,55,18,54,36,6,17,9,11,20,49,43,10,58,51,2,13,52,30,31,33,22,29,41,40,59,23,44,56,19,63,45,34,64,3,5,57,53,12,7,24,37,26
8,24,31,25,51,17,26,62,28,61,19,33,29,12,56,41,46,7,37,36,34,43,20,48,63,40,55,45,5,4,42,50,57,14,23,1,39,22,11,64,21,6,30,18,15,10,3,44,54,58,49,2,32,38,53,16,59,27,35,13,52,47,60,9
57,30,53,13,3,4,27,60,52,1,8,42,62,24,9,40,23,12,58,49,28,19,41,29,18,51,14,22,10,33,61,21,56,47,48,55,63,26,7,37,43,16,2,17,38,5,39,32,31,6,35,59,15,46,50,36,64,34,44,20,54,45,25,11
6,49,47,41,39,34,64,11,53,38,15,31,36,25,5,21,22,30,61,60,17,3,2,51,8,44,56,7,48,16,12,59,40,27,9,54,20,50,32,35,57,14,52,26,24,45,13,55,28,18,33,10,43,23,37,29,62,19,46,58,63,42,4,1
59,19,23,33,40,43,5,56,11,47,57,3,32,50,20,51,24,35,64,9,45,16,44,54,34,53,58,39,41,29,60,26,36,6,8,49,28,42,12,38,7,25,37,61,1,63,46,62,30,13,55,48,27,4,21,52,10,17,15,2,31,22,14,18
38,37,20,14,22,46,18,35,7,54,49,13,45,23,10,2,32,50,42,52,53,5,31,63,43,64,62,15,30,1,27,19,21,44,34,61,17,59,16,24,4,28,58,47,11,56,8,9,41,40,12,51,26,60,25,57,6,48,55,39,3,29,33,36
36,45,2,16,58,55,48,12,44,26,37,6,27,63,30,17,39,10,56,57,59,33,21,1,13,46,24,32,3,25,52,38,31,29,5,53,15,60,4,18,35,34,64,54,19,42,20,49,47,7,9,14,62,8,11,22,50,40,61,23,43,41,51,28
63,34,39,19,20,38,2,36,51,53,35,26,12,52,29,55,4,43,45,50,23,27,60,56,21,59,30,49,32,44,17,31,5,1,64,14,3,47,9,33,62,7,57,48,42,15,58,16,37,28,24,22,13,61,40,6,54,11,10,25,41,8,18,46
4,26,22,12,35,41,43,52,34,44,18,11,24,38,42,45,33,15,57,25,19,48,6,21,58,62,20,10,50,61,55,8,32,31,56,2,40,37,36,46,54,39,23,28,5,64,9,17,29,53,16,30,3,49,51,14,60,63,7,1,47,27,59,13
24,6,30,9,47,23,42,1,50,16,32,21,20,56,2,37,35,64,11,22,58,12,34,36,15,54,51,48,63,14,13,60,27,8,18,10,29,45,17,26,53,44,55,31,40,38,25,43,39,5,59,4,41,7,19,46,61,62,57,52,49,3,28,33
7,16,54,55,64,58,17,45,41,31,25,28,63,49,40,8,42,59,32,24,13,29,51,2,11,19,37,35,39,12,33,52,30,57,38,50,4,53,61,15,56,27,46,3,14,47,22,26,34,48,62,23,10,1,60,18,36,44,5,6,9,43,21,20
51,21,33,11,18,13,46,59,1,48,7,62,15,5,3,30,10,20,54,55,61,40,9,38,57,34,29,42,64,28,23,16,22,63,43,44,25,6,41,19,37,2,4,60,49,36,32,52,27,31,45,56,47,26,12,8,53,24,58,14,39,17,35,50
14,50,32,40,53,27,49,44,36,19,13,17,57,61,47,9,18,46,41,28,39,63,1,5,4,24,26,3,22,45,2,25,55,35,62,7,54,23,58,60,6,59,21,20,10,29,30,8,38,11,15,64,42,33,52,43,56,31,16,51,37,34,12,48
25,31,8,37,60,5,28,57,54,39,59,14,43,64,23,10,52,47,53,7,16,49,62,3,36,6,18,1,27,46,41,56,48,51,13,24,34,11,21,42,19,61,45,33,63,12,35,50,55,44,20,32,9,2,17,58,15,22,30,4,26,40,29,38
3,48,56,29,10,62,15,61,22,4,27,60,6,58,33,46,31,37,44,14,8,17,30,26,9,43,38,53,47,40,7,5,20,28,16,52,12,39,49,59,51,11,34,13,18,24,1,41,63,25,54,21,57,36,35,50,45,64,42,19,2,55,32,23
50,33,19,46,38,30,57,28,31,3,20,27,21,22,58,61,12,23,7,16,18,54,49,40,29,8,47,25,15,64,43,37,60,53,26,42,11,1,6,36,44,24,62,45,2,41,48,14,9,39,17,34,35,51,59,10,55,56,13,32,4,5,52,63
56,8,6,27,11,54,20,14,10,33,47,29,23,44,32,35,48,58,39,34,46,4,13,42,31,28,16,21,24,5,26,1,3,9,63,64,41,7,55,43,38,60,50,22,17,25,40,37,53,49,61,45,12,52,30,62,19,2,51,36,18,57,15,59
16,13,7,34,9,39,61,37,64,49,14,15,8,48,51,18,25,3,47,10,22,24,28,6,60,45,63,57,58,62,30,53,52,59,32,46,5,31,27,44,33,29,56,21,23,1,55,11,36,2,42,20,19,50,38,4,40,35,43,17,12,26,41,54
23,43,36,59,41,53,22,3,17,9,24,16,37,30,45,6,5,32,60,31,57,14,52,19,44,38,40,33,42,55,46,35,13,12,47,34,48,51,2,4,26,15,18,27,8,61,54,63,1,29,56,58,7,64,28,21,39,10,20,62,25,11,50,49
58,40,62,35,1,52,12,49,25,11,54,63,7,53,38,59,20,61,55,2,43,64,8,44,51,18,22,23,19,9,36,17,28,56,21,39,57,33,15,50,5,13,3,16,32,4,10,6,60,27,47,37,14,41,31,26,42,46,29,30,45,48,34,24
48,18,4,44,24,31,25,64,62,13,1,50,52,43,19,42,9,51,21,17,35,26,33,41,10,7,39,2,59,6,56,20,49,30,29,58,45,14,40,54,46,57,28,12,36,53,34,47,23,3,63,11,55,5,32,15,22,61,60,27,16,37,38,8
2,5,17,60,29,32,55,47,26,56,12,46,39,36,34,4,11,63,59,37,62,45,15,27,14,41,3,13,54,50,49,61,24,38,19,23,16,8,10,22,42,51,20,43,58,30,52,35,25,57,40,44,6,18,33,48,9,21,64,7,28,31,1,53
21,51,26,15,42,45,63,10,2,57,60,40,41,28,55,5,30,1,38,29,36,50,56,53,27,12,4,52,34,32,11,48,17,62,20,37,61,35,18,25,59,64,31,49,39,9,19,7,22,43,46,24,8,16,54,13,23,47,6,44,33,14,3,58
18,57,55,6,32,40,47,23,29,8,2,45,10,62,48,25,63,11,13,3,9,28,61,33,26,27,1,16,46,31,58,42,39,19,14,30,59,17,22,56,52,35,49,34,54,43,51,5,15,41,36,53,60,24,4,7,12,37,38,64,50,44,20,21
41,60,10,53,17,11,16,50,21,20,36,64,58,3,44,52,37,40,4,48,42,2,46,25,39,56,19,12,13,7,63,15,38,5,55,31,43,24,1,47,61,18,8,59,26,33,57,28,14,9,29,54,23,35,27,45,34,51,62,22,6,49,30,32
42,39,49,26,15,35,1,48,46,40,38,56,14,13,43,12,57,17,51,6,30,62,54,34,50,52,53,4,61,60,32,41,64,16,33,21,18,27,44,3,2,9,24,55,37,23,36,22,20,19,25,5,59,31,8,11,58,7,28,10,29,63,47,45
13,64,28,5,43,21,58,20,37,55,6,7,16,60,18,49,1,44,24,8,14,36,35,39,38,25,9,29,62,57,47,30,42,52,40,12,23,41,34,48,45,50,19,46,3,31,11,10,17,32,22,33,51,56,2,63,26,15,27,54,59,61,53,4
33,62,27,61,8,63,36,7,30,34,26,23,54,51,39,32,41,53,20,58,64,18,12,59,28,48,21,14,43,2,45,22,35,25,6,11,10,15,13,57,17,56,29,38,16,60,4,1,50,37,52,46,44,55,49,47,24,3,31,5,19,9,42,40
45,59,37,54,12,44,52,38,35,63,41,61,9,15,22,31,19,27,23,32,49,7,10,50,6,17,5,40,51,36,24,11,4,60,28,26,46,58,53,29,39,20,47,64,21,13,14,42,18,30,34,43,16,62,3,1,25,8,56,55,57,33,48,2
29,46,24,22,2,51,14,25,59,28,4,53,19,27,50,33,56,5,31,21,55,47,43,52,3,35,34,54,37,23,44,10,62,61,49,45,9,32,20,8,40,30,63,58,12,7,6,15,57,42,48,26,64,13,39,38,18,60,36,41,11,1,17,16
31,9,34,56,19,3,30,4,42,24,5,1,47,17,11,57,26,22,16,38,29,60,45,15,49,55,59,64,33,20,8,18,37,50,51,63,36,2,54,7,32,41,48,53,27,62,44,25,12,61,58,28,21,10,6,40,43,14,39,46,35,13,23,52
49,28,21,57,46,16,34,39,13,15,33,52,31,32,6,64,38,45,27,54,56,44,29,61,53,50,60,51,35,63,62,2,59,37,22,41,8,4,5,12,55,48,9,1,7,19,23,24,26,14,10,25,11,42,58,30,3,20,40,43,17,18,36,47
64,15,18,24,62,37,50,22,45,59,30,4,51,10,12,36,55,42,49,19,63,1,53,7,56,32,28,58,52,27,6,34,23,48,54,25,13,3,60,61,14,8,40,41,46,21,17,20,16,38,2,47,29,9,43,35,33,26,11,57,44,39,5,31
27,42,13,45,36,25,29,55,8,41,48,2,40,19,53,54,51,9,43,11,52,21,22,58,61,37,12,26,16,49,59,57,7,24,50,18,14,62,38,17,3,47,5,6,60,34,63,64,32,23,44,31,20,39,56,33,28,4,1,35,10,30,46,15
10,20,43,3,44,33,40,26,57,42,56,47,25,16,49,62,36,34,2,18,15,41,37,23,22,30,45,8,4,39,5,55,6,46,27,35,51,29,64,21,58,54,11,50,28,32,31,38,61,60,1,7,24,17,48,19,63,59,9,53,14,52,13,12
5,56,11,31,48,14,53,30,58,7,21,18,34,39,17,23,64,33,35,59,24,20,3,28,19,15,36,9,44,43,40,13,63,42,1,32,47,52,57,16,29,45,10,62,4,26,37,12,51,22,8,41,49,6,46,54,38,50,25,61,55,2,27,60
19,12,52,2,7,9,23,51,55,14,50,20,38,29,60,44,8,25,5,40,48,30,17,31,41,47,11,46,21,3,1,33,34,26,15,28,58,10,43,39,27,53,61,35,22,16,42,13,4,62,57,36,63,59,18,64,49,6,32,24,56,54,45,37
61,32,63,47,4,1,8,17,43,27,22,9,35,37,24,11,14,60,62,26,6,10,57,46,20,23,25,38,31,18,54,64,44,2,36,19,55,40,33,53,49,52,15,30,59,39,56,51,13,45,21,3,50,12,5,28,7,41,34,42,48,16,58,29
60,35,41,58,6,59,38,54,63,46,28,5,61,1,26,3,13,16,12,47,50,32,39,4,17,29,10,24,7,42,48,14,11,20,31,56,49,30,45,9,36,43,44,25,33,57,18,2,52,55,27,40,34,53,15,37,8,23,22,21,64,51,19,62
11,29,5,36,27,18,54,63,40,23,62,34,42,21,31,38,50,56,10,15,32,46,48,12,64,3,57,61,45,24,53,44,25,43,41,59,1,28,37,51,13,55,17,4,9,52,7,39,2,35,6,19,58,47,16,49,20,30,8,33,22,60,26,14
62,25,15,20,31,50,3,53,12,52,46,55,28,35,16,22,49,54,1,45,44,34,42,13,32,21,33,18,14,48,19,51,8,23,39,9,38,36,29,6,60,37,41,63,30,58,24,56,64,4,11,61,5,40,26,17,47,43,2,59,27,7,10,57
17,52,12,64,13,26,6,58,56,30,53,24,4,41,1,29,2,55,18,39,3,57,63,20,23,42,49,59,36,47,22,27,46,7,61,15,44,16,31,14,48,62,33,5,35,51,45,34,21,10,43,8,28,32,9,60,37,38,50,11,40,19,54,25
39,55,57,7,30,19,51,43,14,37,10,32,11,59,25,15,60,4,33,53,27,58,38,9,46,31,52,41,12,8,16,63,18,49,42,5,35,20,47,34,1,40,26,23,61,2,29,54,24,36,50,62,56,22,45,44,17,28,21,48,13,64,6,3
37,41,1,48,61,8,4,2,27,64,43,44,60,9,57,63,29,31,40,23,47,59,19,17,30,5,50,55,11,26,15,39,54,45,12,22,32,56,3,62,10,38,6,36,20,28,21,46,7,33,18,42,25,14,13,51,16,52,24,34,53,58,49,35
28,44,45,49,34,22,24,33,39,50,51,19,17,8,54,48,6,52,30,5,41,35,14,37,7,60,2,20,1,10,25,40,53,11,57,13,21,64,26,58,16,31,42,32,47,59,43,18,46,12,3,55,38,63,23,27,29,9,4,56,15,36,62,61
9,47,59,10,16,60,56,32,49,2,61,58,18,20,7,26,21,8,28,43,11,51,36,62,37,13,35,6,38,34,29,4,19,40,17,33,24,63,30,27,50,22,25,14,64,3,12,57,48,52,53,39,54,15,1,41,44,5,45,31,23,46,55,42
40,14,38,23,21,42,35,46,33,6,3,36,5,45,13,47,7,24,25,64,26,61,16,22,62,9,54,56,17,58,28,43,2,55,4,60,52,48,50,10,11,49,27,15,44,8,53,19,59,34,30,57,37,29,20,31,1,18,12,63,51,32,39,41
